pl_name,hostname,pl_eqt,pl_rade,pl_orbper,st_teff,st_rad,sy_vmag,sy_dist,sy_snum,pl_insol,pl_insol_effective,pl_bmasse,pl_bmasse_filled,temp_score,insolation_score,period_score,stellar_temp_score,climate_score,radius_score,mass_score,structure_score,transit_depth_ppm,transit_visibility_score,brightness_score,distance_score,observability_score,system_score,priority_score,priority_band
Kepler-1052 c,Kepler-1052,302.0,2.3,180.921729,5818.0,0.848,14.932,943.444,1,1.96,1.96,,10.187445112871815,1.0,0.4800000000000002,1.0,1.0,0.8700000000000001,0.22222222222222243,0.0,0.11111111111111122,618.3089899666871,0.6332771097124849,0.05416670048123605,0.06422002210364276,0.2593686741177748,1.0,0.5563388860836883,Context
Kepler-1649 b,Kepler-1649,307.0,1.017,8.689099,3240.0,0.2317,17.95,92.1913,1,2.208,2.208,,1.064357502575539,1.0,0.0,0.0,0.0,0.25,1.0,1.0,1.0,1619.3153464422455,0.850807305507452,0.004609572179374208,0.4615759385966827,0.4150203704485285,1.0,0.5338044814986762,Context
K2-323 b,K2-323,318.0,2.1,24.93,3710.0,0.549,14.935,118.318,1,,2.418509280300763,,8.264101393029618,1.0,0.0,0.7329203821082574,0.5125,0.5613550955270643,0.44444444444444436,0.34717972139407643,0.3958120829192604,1229.8028468749926,0.8021092933699873,0.05403876147394479,0.395344321997492,0.4011898377684464,1.0,0.5198245780260522,Context
TOI-1468 c,TOI-1468,338.1,2.126,15.532477,3376.0,0.3714,12.5,24.7399,1,2.13,2.13,4.1,4.1,0.7737499999999997,0.1400000000000005,0.05032541726288269,0.095,0.2647688543157207,0.41555555555555573,1.0,0.7077777777777778,2754.129233654856,0.9168238861417856,0.3029407160345927,0.7814660143183739,0.6374311501430555,1.0,0.516325281917991,Context
TOI-4336 A b,TOI-4336 A,308.0,2.12,16.336334,3298.0,0.328,13.6,22.5455,3,1.5,1.5,,8.446246251529198,1.0,1.0,0.12312176713129948,0.0,0.5307804417828249,0.42222222222222217,0.31075074969416044,0.36648648595819133,3511.281335121271,0.9371051001417049,0.1480471980316895,0.7981989054220308,0.5867553906177803,0.5,0.49955900622773064,Context
K2-9 b,K2-9,314.0,2.25,18.4498,3390.0,0.31,15.86,82.9631,1,1.36,1.36,,9.685254801627098,1.0,1.0,0.29864267650911763,0.1125,0.6027856691272794,0.2777777777777778,0.06294903967458047,0.17036340872617914,4427.7515325483755,0.9520790357895486,0.025747491018242877,0.49012941719338615,0.4660590132319856,1.0,0.4963773861998574,Context
EPIC 212737443 c,EPIC 212737443,316.0,2.69,65.55,4684.0,0.673,14.81,336.25,1,,2.3582378672267095,,14.605670641654065,1.0,0.0,1.0,1.0,0.75,0.0,0.0,0.0,1342.8145087880987,0.8188561876795577,0.059617736527027995,0.1738001288156766,0.3538967925025755,1.0,0.49535729435056663,Context
TOI-5713 b,TOI-5713,347.2,1.77,10.441989,3225.0,0.2992,15.355,40.8668,1,2.2554,2.2554,,5.577374049931208,0.6600000000000001,0.0,0.0,0.0,0.16500000000000004,0.8111111111111111,0.8845251900137583,0.8478181505624347,2941.4735520694635,0.9228428092566031,0.03869802590908437,0.6746512894412131,0.507137015963748,1.0,0.4777746811526333,Context
TOI-406.01,TOI-406,368.0,2.08,13.175682,3392.0,0.41,13.773,31.0597,1,3.0,3.0,6.57,6.57,0.4,0.0,0.0,0.115,0.12875,0.4666666666666666,0.6859999999999999,0.5763333333333333,2163.219304844238,0.8909310983129034,0.1307701182953249,0.7363788756921774,0.5482286506506906,1.0,0.40263113647648524,Context
K2-264 c,K2-264,331.0,2.668,19.660302,3660.0,0.473,16.701,185.605,1,,2.8389075732709204,,14.33239131463568,0.8625,0.0,0.39032298222671685,0.45,0.4257057455566792,0.0,0.0,0.0,2674.182007851033,0.9139936701873211,0.012943076913703503,0.28623324575677467,0.39663332677023744,1.0,0.3588269173899579,Context
LTT 3780 c,LTT 3780,359.0,2.39,12.252284,3358.0,0.38,13.14,21.9814,2,2.76,2.76,8.04,8.04,0.5125,0.0,0.0,0.0725,0.14625,0.1222222222222221,0.3920000000000002,0.2571111111111111,3324.835800066464,0.9329947843661295,0.20315893045582326,0.8025940212090761,0.6084602520127436,0.75,0.32395153322058134,Context
